Mass(GeV),Counts
1.070000000000000000e+02,6.290000000000000000e+02
1.076666666666666572e+02,6.260000000000000000e+02
1.083333333333333286e+02,6.020000000000000000e+02
1.090000000000000000e+02,5.740000000000000000e+02
1.096666666666666572e+02,5.620000000000000000e+02
1.103333333333333286e+02,5.700000000000000000e+02
1.110000000000000000e+02,5.740000000000000000e+02
1.116666666666666572e+02,5.460000000000000000e+02
1.123333333333333286e+02,5.480000000000000000e+02
1.130000000000000000e+02,5.470000000000000000e+02
1.136666666666666572e+02,5.170000000000000000e+02
1.143333333333333286e+02,5.040000000000000000e+02
1.150000000000000000e+02,4.880000000000000000e+02
1.156666666666666572e+02,4.610000000000000000e+02
1.163333333333333286e+02,4.860000000000000000e+02
1.170000000000000000e+02,4.840000000000000000e+02
1.176666666666666572e+02,4.710000000000000000e+02
1.183333333333333286e+02,4.570000000000000000e+02
1.190000000000000000e+02,4.540000000000000000e+02
1.196666666666666572e+02,4.720000000000000000e+02
