Mass(GeV),Counts
1.023333333333333286e+02,0.000000000000000000e+00
1.030000000000000000e+02,0.000000000000000000e+00
1.036666666666666572e+02,2.000000000000000000e+00
1.043333333333333286e+02,0.000000000000000000e+00
1.050000000000000000e+02,0.000000000000000000e+00
1.056666666666666572e+02,2.000000000000000000e+00
1.063333333333333286e+02,1.000000000000000000e+00
1.070000000000000000e+02,0.000000000000000000e+00
1.076666666666666572e+02,1.000000000000000000e+00
1.083333333333333286e+02,0.000000000000000000e+00
1.090000000000000000e+02,1.000000000000000000e+00
1.096666666666666572e+02,1.000000000000000000e+00
1.103333333333333286e+02,0.000000000000000000e+00
1.110000000000000000e+02,0.000000000000000000e+00
1.116666666666666572e+02,3.000000000000000000e+00
1.123333333333333286e+02,0.000000000000000000e+00
1.130000000000000000e+02,0.000000000000000000e+00
1.136666666666666572e+02,0.000000000000000000e+00
1.143333333333333286e+02,0.000000000000000000e+00
1.150000000000000000e+02,0.000000000000000000e+00
1.156666666666666572e+02,0.000000000000000000e+00
1.163333333333333286e+02,0.000000000000000000e+00
1.170000000000000000e+02,1.000000000000000000e+00
1.176666666666666572e+02,0.000000000000000000e+00
1.183333333333333286e+02,0.000000000000000000e+00
1.190000000000000000e+02,0.000000000000000000e+00
1.196666666666666572e+02,0.000000000000000000e+00
